MOLCLIN	REFNO	INVNO	ORDERNO	PREFIX	GENE	SUFFIX
C	10003	1	1		IGH/BCL2	
C	10003	1	2		IGH	+ 
C	10003	1	3		BCL2	+ 
C	10004	1	1		TCF3/PBX1	
C	10004	1	2		TCF3	+ 
C	10004	1	3		PBX1	+ 
C	10012	1	1		IGH/CCND1	
C	10012	1	2		IGH	+ 
C	10012	1	3		CCND1	+ 
C	10014	1	1		ETV6/NTRK3	
C	10014	1	2		ETV6	+ 
C	10014	1	3		NTRK3	+ 
C	10014	2	1		ETV6/NTRK3	
C	10014	2	2		ETV6	+ 
C	10014	2	3		NTRK3	+ 
C	10048	1	1		BIRC3/MALT1	
C	10048	1	2		BIRC3	+ 
C	10048	1	3		MALT1	+ 
C	10065	1	1		IGH/WHSC1	
C	10065	1	2		IGH	+ 
C	10065	1	3		WHSC1	+ 
C	10088	1	1		ETV6/RUNX1	
C	10088	1	2		ETV6	+ 
C	10088	1	3		RUNX1	+ 
C	10099	1	1		KMT2A	+ 
C	10108	1	1		BCR/ABL1	
C	10108	1	2		BCR	+ 
C	10108	1	3		ABL1	+ 
C	10115	1	1		IGH/MYC	
C	10115	1	2		IGH	+ 
C	10115	1	3		MYC	+ 
C	10142	1	1		IGH/CCND1	
C	10142	1	2		IGH	+ 
C	10142	1	3		CCND1	+ 
C	10142	1	4		IGH/FGFR3	
C	10142	1	5		IGH	+ 
C	10142	1	6		FGFR3	+ 
C	10142	1	7		IGH/MAF	
C	10142	1	8		IGH	+ 
C	10142	1	9		MAF	+ 
C	10150	1	1		BIRC3/MALT1	
C	10150	1	2		BIRC3	+ 
C	10150	1	3		MALT1	+ 
C	10160	1	1		IGH/CCND1	
C	10160	1	2		IGH	+ 
C	10160	1	3		CCND1	+ 
C	10163	1	1		RUNX1/RUNX1T1	
C	10163	1	2		RUNX1	+ 
C	10163	1	3		RUNX1T1	+ 
C	10175	1	1		CCDC6/RET	
C	10175	1	2		CCDC6	+ 
C	10175	1	3		RET	+ 
C	10175	1	4		NCOA4/RET	
C	10175	1	5		NCOA4	+ 
C	10175	1	6		RET	+ 
C	10175	1	7		PRKAR1A/RET	
C	10175	1	8		PRKAR1A	+ 
C	10175	1	9		RET	+ 
C	10199	1	1		SS18/SSX1	
C	10199	1	2		SS18	+ 
C	10199	1	3		SSX1	+ 
C	10199	1	4		SS18/SSX2	
C	10199	1	5		SS18	+ 
C	10199	1	6		SSX2	+ 
C	10241	1	1		BCR/ABL1	
C	10241	1	2		BCR	+ 
C	10241	1	3		ABL1	+ 
C	10249	1	1		BCR/ABL1	
C	10249	1	2		BCR	+ 
C	10249	1	3		ABL1	+ 
C	10271	1	1		PICALM/MLLT10	
C	10271	1	2		PICALM	+ 
C	10271	1	3		MLLT10	+ 
C	10284	1	1		KMT2A	+ 
C	10288	1	1		BCL6	+ 
C	10291	1	1		IGH/BCL2	
C	10291	1	2		IGH	+ 
C	10291	1	3		BCL2	+ 
C	10315	1	1		EWSR1/WT1	
C	10315	1	2		EWSR1	+ 
C	10315	1	3		WT1	+ 
C	10326	1	1		RBM15/MKL1	
C	10326	1	2		RBM15	+ 
C	10326	1	3		MKL1	+ 
C	10334	1	1		BCR/ABL1	
C	10334	1	2		BCR	+ 
C	10334	1	3		ABL1	+ 
C	10339	1	1		BCR/ABL1	
C	10339	1	2		BCR	+ 
C	10339	1	3		ABL1	+ 
C	10339	1	4		KMT2A/AFF1	
C	10339	1	5		KMT2A	+ 
C	10339	1	6		AFF1	+ 
C	10340	1	1		BCL11B/TLX3	
C	10340	1	2		BCL11B	+ 
C	10340	1	3		TLX3	+ 
C	10346	1	1		BIRC3/MALT1	
C	10346	1	2		BIRC3	+ 
C	10346	1	3		MALT1	+ 
C	10357	1	1		BCL6	+ 
C	10361	1	1	+ 	RUNX1	
C	10369	1	1		KMT2A	+ 
C	10419	1	1	+ 	RUNX1	
C	10428	1	1		IGH/CCND1	
C	10428	1	2		IGH	+ 
C	10428	1	3		CCND1	+ 
C	10436	1	1		BIRC3/MALT1	
C	10436	1	2		BIRC3	+ 
C	10436	1	3		MALT1	+ 
C	10437	1	1		IGH/BCL2	
C	10437	1	2		IGH	+ 
C	10437	1	3		BCL2	+ 
C	10442	1	1		SS18/SSX	
C	10442	1	2		SS18	+ 
C	10442	1	3		SSX	+ 
C	10450	1	1		BCR/ABL1	
C	10450	1	2		BCR	+ 
C	10450	1	3		ABL1	+ 
C	10465	1	1		ETV6/RUNX1	
C	10465	1	2		ETV6	+ 
C	10465	1	3		RUNX1	+ 
C	10512	1	10		TRD/TLX1	
C	10512	1	11		TRD	+ 
C	10512	1	12		TLX1	+ 
C	10512	1	1		BCL11B/TLX3	
C	10512	1	2		BCL11B	+ 
C	10512	1	3		TLX3	+ 
C	10512	1	4		STIL/TAL1	
C	10512	1	5		STIL	+ 
C	10512	1	6		TAL1	+ 
C	10512	1	7		TRB/TLX1	
C	10512	1	8		TRB	+ 
C	10512	1	9		TLX1	+ 
C	10544	1	1		IGH/PAX5	
C	10544	1	2		IGH	+ 
C	10544	1	3		PAX5	+ 
C	10548	1	1		IGH/CCND1	
C	10548	1	2		IGH	+ 
C	10548	1	3		CCND1	+ 
C	10548	1	4		IGH/FGFR3	
C	10548	1	5		IGH	+ 
C	10548	1	6		FGFR3	+ 
C	10575	1	1		ETV6/RUNX1	
C	10575	1	2		ETV6	+ 
C	10575	1	3		RUNX1	+ 
C	10582	1	1		FUS/CREB3L2	
C	10582	1	2		FUS	+ 
C	10582	1	3		CREB3L2	+ 
C	10591	1	1		ETV6/NTRK3	
C	10591	1	2		ETV6	+ 
C	10591	1	3		NTRK3	+ 
C	10613	1	1		BIRC3/MALT1	
C	10613	1	2		BIRC3	+ 
C	10613	1	3		MALT1	+ 
C	10631	1	1		CBFB/MYH11	
C	10631	1	2		CBFB	+ 
C	10631	1	3		MYH11	+ 
C	10634	1	1		SS18/SSX1	
C	10634	1	2		SS18	+ 
C	10634	1	3		SSX1	+ 
C	10634	1	4		SS18/SSX2	
C	10634	1	5		SS18	+ 
C	10634	1	6		SSX2	+ 
C	10638	1	1		BCL6	+ 
C	10677	1	1		IGH/BCL2	
C	10677	1	2		IGH	+ 
C	10677	1	3		BCL2	+ 
C	10681	1	1		FIP1L1/PDGFRA	
C	10681	1	2		FIP1L1	+ 
C	10681	1	3		PDGFRA	+ 
C	10700	1	1		KMT2A	+ 
